ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
072252837X,Kama Sutra: An Intimate Photographic Guide to the Arts of Love,Mallanaga Vatsayana,1995,Natl Book Network,http://images.amazon.com/images/P/072252837X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/072252837X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/072252837X.01.LZZZZZZZ.jpg
0340134690,Five Have a Mystery to Solve,Enid Blyton,1978,Hodder &amp; Stoughton General Division,http://images.amazon.com/images/P/0340134690.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340134690.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340134690.01.LZZZZZZZ.jpg
0446604313,The Wish Club,Stella Cameron,1998,Warner Books,http://images.amazon.com/images/P/0446604313.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446604313.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446604313.01.LZZZZZZZ.jpg
0441626742,On Any Given Sunday,Ben Elisco,1982,Berkley Pub Group (Mm),http://images.amazon.com/images/P/0441626742.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441626742.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441626742.01.LZZZZZZZ.jpg
0451162900,Blue Belle,Andrew Vachss,1990,Penguin Putnam~mass,http://images.amazon.com/images/P/0451162900.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451162900.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451162900.01.LZZZZZZZ.jpg
0373272863,Seven Days to Forever  (Eagle Squadron),Ingrid Weaver,2003,Harlequin,http://images.amazon.com/images/P/0373272863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373272863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373272863.01.LZZZZZZZ.jpg
345316086X,"Star Wars. Der Gejagte. Die Han Solo- Trilogie, Band 2.",Ann C. Crispin,1999,Heyne,http://images.amazon.com/images/P/345316086X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/345316086X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/345316086X.01.LZZZZZZZ.jpg
0590459538,"Song of the Wanderer (Unicorn Chronicles, Bk. 2.)",Bruce Coville,1999,Scholastic,http://images.amazon.com/images/P/0590459538.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590459538.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590459538.01.LZZZZZZZ.jpg
1570425221,The Celestine Vision : Living the New Spiritual Awareness,James Redfield,1997,Time Warner Audio Major,http://images.amazon.com/images/P/1570425221.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1570425221.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1570425221.01.LZZZZZZZ.jpg
1591826039,Fruits Basket (Book 1),Natsuki Takaya,2004,Tokyopop,http://images.amazon.com/images/P/1591826039.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1591826039.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1591826039.01.LZZZZZZZ.jpg
