ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0441000916,The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1994,Ace Books,http://images.amazon.com/images/P/0441000916.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441000916.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441000916.01.LZZZZZZZ.jpg
037575914X,Little Dorrit (Modern Library Classics),Charles Dickens,2002,Modern Library,http://images.amazon.com/images/P/037575914X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037575914X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037575914X.01.LZZZZZZZ.jpg
0307101002,Pooh Just Be Nice...to Your Little Friends! (Pooh - Just Be Nice Series),Caroline Kenneth,1996,Golden Books Publishing Company,http://images.amazon.com/images/P/0307101002.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0307101002.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0307101002.01.LZZZZZZZ.jpg
3423206454,Miss Clare erinnert sich.,Miss Read,2003,Dtv,http://images.amazon.com/images/P/3423206454.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3423206454.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3423206454.01.LZZZZZZZ.jpg
0440120144,Devil's Guard,George Robert Elford,1988,Dell Publishing Company,http://images.amazon.com/images/P/0440120144.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440120144.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440120144.01.LZZZZZZZ.jpg
0609605143,What's Not to Love: The Adventures of a Mildly Perverted Young Writer,Jonathan Ames,2000,Crown Publishing Group (NY),http://images.amazon.com/images/P/0609605143.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609605143.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609605143.01.LZZZZZZZ.jpg
0140098925,Kangaroo,D.H. Lawrence,1986,Penguin Books Ltd,http://images.amazon.com/images/P/0140098925.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140098925.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140098925.01.LZZZZZZZ.jpg
0805064362,After the Darkest Hour: How Suffering Begins the Journey to Wisdom,Kathleen A. Brehony,2001,Owl Books (NY),http://images.amazon.com/images/P/0805064362.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805064362.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805064362.01.LZZZZZZZ.jpg
2841466892,Violences scolaires. Les Enfants victimes de violence Ã?Â  l'Ã?Â©cole,Pascal Vivet,2000,Syros,http://images.amazon.com/images/P/2841466892.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2841466892.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2841466892.01.LZZZZZZZ.jpg
0446605638,Exchange Alley,Michael Walsh,1998,Warner Books,http://images.amazon.com/images/P/0446605638.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605638.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605638.01.LZZZZZZZ.jpg
0312957793,Casting in Dead Water,David Leitz,1996,St Martins Pr (Mm),http://images.amazon.com/images/P/0312957793.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312957793.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312957793.01.LZZZZZZZ.jpg
0312959060,City Hall,Kenneth Lipper,1996,St Martins Pr,http://images.amazon.com/images/P/0312959060.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312959060.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312959060.01.LZZZZZZZ.jpg
0425089991,Elvis-The Final Years,Jerry Hopkins,1985,Berkley Publishing Group,http://images.amazon.com/images/P/0425089991.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425089991.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425089991.01.LZZZZZZZ.jpg
1902825241,The Xenophobe's Guide to the Danes,Helen Dyrbye,1999,Globe Pequot Pr,http://images.amazon.com/images/P/1902825241.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1902825241.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1902825241.01.LZZZZZZZ.jpg
0966517636,Championship Writing: 50 Ways to Improve Your Writing,Paula LaRocque,2000,Marion Street Press,http://images.amazon.com/images/P/0966517636.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0966517636.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0966517636.01.LZZZZZZZ.jpg
0525242317,Green Politics,Fritjof Capra,1984,Penguin USA,http://images.amazon.com/images/P/0525242317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525242317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525242317.01.LZZZZZZZ.jpg
0671667491,BEING THE BEST,Ralph Peters,1988,Pocket,http://images.amazon.com/images/P/0671667491.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671667491.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671667491.01.LZZZZZZZ.jpg
